state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,fetch_timestamp,data_type
Andhra Pradesh,Guntur,Guntur APMC,Wheat,Standard,FAQ,25/12/2025,2166.63,2377.09,2269.84,2026-01-09T01:57:25.654578,agmarknet_data
Arunachal Pradesh,Arunachal Pradesh Main,Arunachal Pradesh Main APMC,Wheat,Standard,FAQ,25/12/2025,2229.53,2515.99,2319.84,2026-01-09T01:57:25.659259,agmarknet_data
Assam,Silchar,Silchar APMC,Wheat,Standard,FAQ,25/12/2025,1975.72,2167.64,2069.84,2026-01-09T01:57:25.675318,agmarknet_data
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,Standard,FAQ,25/12/2025,1975.72,2167.64,2069.84,2026-01-09T01:57:25.693566,agmarknet_data
Chhattisgarh,Durg,Durg APMC,Wheat,Standard,FAQ,25/12/2025,2095.04,2298.55,2194.84,2026-01-09T01:57:25.699338,agmarknet_data
Goa,Goa Main,Goa Main APMC,Wheat,Standard,FAQ,25/12/2025,2229.53,2515.99,2319.84,2026-01-09T01:57:25.707459,agmarknet_data
Gujarat,Ahmedabad,Ahmedabad APMC,Wheat,Standard,FAQ,25/12/2025,2132.07,2436.34,2319.84,2026-01-09T01:57:25.712778,agmarknet_data
Haryana,Karnal,Karnal APMC,Wheat,Standard,FAQ,25/12/2025,2201.0,2515.1,2394.84,2026-01-09T01:57:25.717691,agmarknet_data
Himachal Pradesh,Himachal Pradesh Main,Himachal Pradesh Main APMC,Wheat,Standard,FAQ,25/12/2025,2349.66,2651.56,2444.84,2026-01-09T01:57:25.722277,agmarknet_data
Jharkhand,Dhanbad,Dhanbad APMC,Wheat,Standard,FAQ,25/12/2025,2047.31,2246.18,2144.84,2026-01-09T01:57:25.726661,agmarknet_data
Karnataka,Bangalore,Bangalore APMC,Wheat,Standard,FAQ,25/12/2025,2132.07,2436.34,2319.84,2026-01-09T01:57:25.729947,agmarknet_data
Kerala,Kozhikode,Kozhikode APMC,Wheat,Standard,FAQ,25/12/2025,2452.99,2691.26,2569.84,2026-01-09T01:57:25.733679,agmarknet_data
Madhya Pradesh,Indore,Indore APMC,Wheat,Standard,FAQ,25/12/2025,2132.07,2436.34,2319.84,2026-01-09T01:57:25.737421,agmarknet_data
Maharashtra,Mumbai,Mumbai APMC,Wheat,Standard,FAQ,25/12/2025,2178.02,2488.85,2369.84,2026-01-09T01:57:25.741043,agmarknet_data
Manipur,Manipur Main,Manipur Main APMC,Wheat,Standard,FAQ,25/12/2025,2229.53,2515.99,2319.84,2026-01-09T01:57:25.744398,agmarknet_data
Meghalaya,Meghalaya Main,Meghalaya Main APMC,Wheat,Standard,FAQ,25/12/2025,2229.53,2515.99,2319.84,2026-01-09T01:57:25.747854,agmarknet_data
Mizoram,Mizoram Main,Mizoram Main APMC,Wheat,Standard,FAQ,25/12/2025,2229.53,2515.99,2319.84,2026-01-09T01:57:25.752587,agmarknet_data
Nagaland,Nagaland Main,Nagaland Main APMC,Wheat,Standard,FAQ,25/12/2025,2229.53,2515.99,2319.84,2026-01-09T01:57:25.756136,agmarknet_data
Odisha,Rourkela,Rourkela APMC,Wheat,Standard,FAQ,25/12/2025,2023.45,2220.0,2119.84,2026-01-09T01:57:25.764660,agmarknet_data
Punjab,Ludhiana,Ludhiana APMC,Wheat,Standard,FAQ,25/12/2025,2246.95,2567.62,2444.84,2026-01-09T01:57:25.769029,agmarknet_data
Rajasthan,Jaipur,Jaipur APMC,Wheat,Standard,FAQ,25/12/2025,2086.12,2383.83,2269.84,2026-01-09T01:57:25.782271,agmarknet_data
Sikkim,Sikkim Main,Sikkim Main APMC,Wheat,Standard,FAQ,25/12/2025,2229.53,2515.99,2319.84,2026-01-09T01:57:25.788963,agmarknet_data
