state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Kerala,Kottayam,Pampady APMC,Colacasia,Other,FAQ,09/01/2026,6000,7000,6500
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Guava,Other,Grade A,09/01/2026,2000,3500,2500
Haryana,Gurgaon,Gurgaon APMC,Guava,Guava,Grade B,09/01/2026,2000,4000,3000
Odisha,Sundergarh,Panposh APMC,Cabbage,Other,FAQ,09/01/2026,4000,5000,4500
Kerala,Alappuzha,Harippad APMC,Carrot,Other,FAQ,09/01/2026,6000,6500,6000
Punjab,Amritsar,Rayya APMC,Green Chilli,Green Chilly,FAQ,09/01/2026,1600,1600,1600
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Green Chilli,Green Chilly,FAQ,09/01/2026,3200,3200,3200
Punjab,Amritsar,Rayya APMC,Bhindi(Ladies Finger),Bhindi,FAQ,09/01/2026,1210,1210,1210
Kerala,Alappuzha,Harippad APMC,Bottle gourd,Other,FAQ,09/01/2026,1500,2000,1500
Haryana,Gurgaon,Gurgaon APMC,Bottle gourd,Bottle Gourd,Grade A,09/01/2026,1000,1200,1100
Kerala,Alappuzha,Harippad APMC,Bitter gourd,Other,FAQ,09/01/2026,5000,5500,5000
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Tomato,Other,Grade A,09/01/2026,2500,3500,3000
Punjab,Tarntaran,Tarantaran APMC,Tomato,Other,Local,09/01/2026,1200,1200,1200
Odisha,Sundergarh,Panposh APMC,Field Pea,Field Pea,FAQ,09/01/2026,4000,5000,4500
Punjab,Amritsar,Rayya APMC,Brinjal,Brinjal,FAQ,09/01/2026,800,800,800
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Banana,Medium,Grade B,09/01/2026,1300,1300,1300
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Apple,Apple,Grade B,09/01/2026,7300,7300,7300
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Raddish,Other,Grade A,09/01/2026,600,900,700
Punjab,Amritsar,Rayya APMC,Raddish,Other,FAQ,09/01/2026,420,420,420
Kerala,Kottayam,Pampady APMC,Cucumbar(Kheera),Cucumbar,FAQ,09/01/2026,2500,3500,3000
Odisha,Bargarh,Attabira APMC,Cabbage,Cabbage,Local,09/01/2026,1200,1600,1400
Kerala,Kottayam,Pampady APMC,Banana - Green,Banana - Green,FAQ,09/01/2026,4600,5500,5000
Kerala,Kottayam,Pampady APMC,Amaranthus,Amaranthus,FAQ,09/01/2026,3000,4500,3500
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Bhindi(Ladies Finger),Bhindi,FAQ,09/01/2026,2300,2300,2300
Kerala,Kottayam,Pampady APMC,Bhindi(Ladies Finger),Bhindi,FAQ,09/01/2026,4500,5500,5000
Odisha,Sundergarh,Panposh APMC,Pumpkin,Other,FAQ,09/01/2026,800,1500,1000
Odisha,Cuttack,Rairangpur APMC,Tomato,Hybrid,Grade A,09/01/2026,2500,4000,3000
Uttar Pradesh,Hathras,Shadabad APMC,Tomato,Tomato,Small,09/01/2026,1600,1700,1650
Odisha,Bargarh,Attabira APMC,Brinjal,Other,Local,09/01/2026,2200,2600,2400
Haryana,Gurgaon,Gurgaon APMC,Brinjal,Brinjal,Grade B,09/01/2026,1000,1400,1200
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Cauliflower,Cauliflower,Grade A,09/01/2026,800,1200,900
Odisha,Sundergarh,Panposh APMC,Cauliflower,Other,FAQ,09/01/2026,4500,5200,5000
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Potato,Other,Grade A,09/01/2026,400,700,500
Haryana,Gurgaon,Gurgaon APMC,Potato,Other,Grade A,09/01/2026,600,800,700
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Potato,Potato,FAQ,09/01/2026,1500,1500,1500
Kerala,Alappuzha,Harippad APMC,Onion,Small,FAQ,09/01/2026,6000,6500,6000
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Onion,Red,FAQ,09/01/2026,1500,1500,1500
Punjab,Tarntaran,Tarantaran APMC,Onion,Other,Local,09/01/2026,1500,1500,1500
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Orange,Orange,Grade B,09/01/2026,5000,5000,5000
Haryana,Gurgaon,Gurgaon APMC,Apple,Apple,Grade B,09/01/2026,5000,10000,7500
Kerala,Kottayam,Pampady APMC,Little gourd(Kundru),Other,FAQ,09/01/2026,4500,5500,5000
Kerala,Kottayam,Pampady APMC,Drumstick,Drumstick,FAQ,09/01/2026,10000,12000,11000
Kerala,Alappuzha,Harippad APMC,Capsicum,Capsicum,FAQ,09/01/2026,8000,8500,8000
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Cucumbar(Kheera),Cucumbar,FAQ,09/01/2026,1700,1700,1700
Punjab,Tarntaran,Tarantaran APMC,Carrot,Other,Local,09/01/2026,400,400,400
Kerala,Alappuzha,Harippad APMC,Banana - Green,Other,FAQ,09/01/2026,4000,4500,4000
Kerala,Kottayam,Pampady APMC,Cowpea(Veg),Cowpea (Veg),FAQ,09/01/2026,6000,7000,6500
Punjab,Tarntaran,Tarantaran APMC,Green Chilli,Other,Local,09/01/2026,2000,2000,2000
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Bhindi(Ladies Finger),Bhindi,Grade A,09/01/2026,3000,4000,3500
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Pumpkin,Other,Grade A,09/01/2026,1000,1500,1200
Kerala,Kottayam,Pampady APMC,Pumpkin,Pumpkin,FAQ,09/01/2026,3000,4000,3500
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Tomato,Tomato,FAQ,09/01/2026,1800,1800,1800
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Mousambi(Sweet Lime),Mousambi,Grade A,09/01/2026,2000,3000,2500
