state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,fetch_timestamp
Madhya Pradesh,Hoshangabad,Pipariya APMC,Paddy(Common),Basmati,FAQ,08/01/2026,3800.0,3855.0,3820.0,2026-01-09T01:50:05.861050
Madhya Pradesh,Harda,Sirali APMC,Wheat,Mill Quality,FAQ,08/01/2026,2442.0,2628.0,2541.0,2026-01-09T01:50:05.861050
Madhya Pradesh,Harda,Sirali APMC,Bengal Gram(Gram)(Whole),Gram,FAQ,08/01/2026,3800.0,3800.0,3800.0,2026-01-09T01:50:05.861050
Gujarat,Banaskanth,Vadgam APMC,Groundnut,Other,FAQ,08/01/2026,6425.0,6755.0,6755.0,2026-01-09T01:50:05.861050
Punjab,Mohali,Kharar APMC,Onion,Other,Non-FAQ,08/01/2026,2200.0,3000.0,2500.0,2026-01-09T01:50:05.861050
Madhya Pradesh,Badwani,Sendhwa APMC,Soyabean,Soyabeen,FAQ,08/01/2026,4600.0,5125.0,5125.0,2026-01-09T01:50:05.861050
Madhya Pradesh,Badwani,Sendhwa APMC,Cotton,Without Ginned Cotton,FAQ,08/01/2026,6680.0,7530.0,7350.0,2026-01-09T01:50:05.861050
Assam,Nagaon,Dhing APMC,Beetroot,Beetroot,FAQ,08/01/2026,2300.0,2620.0,2450.0,2026-01-09T01:50:05.861050
Rajasthan,Ajmer,Madanganj Kishangarh APMC,Green Gram(Moong)(Whole),Other,Local,08/01/2026,1369.0,5699.0,4159.0,2026-01-09T01:50:05.861050
Rajasthan,Ajmer,Madanganj Kishangarh APMC,Bengal Gram(Gram)(Whole),Other,Local,08/01/2026,3269.0,5259.0,5259.0,2026-01-09T01:50:05.861050
Rajasthan,Ajmer,Madanganj Kishangarh APMC,Jowar(Sorghum),Other,Local,08/01/2026,2419.0,4159.0,2459.0,2026-01-09T01:50:05.861050
Rajasthan,Alwar,Kherli APMC,Wheat,Other,Non-FAQ,08/01/2026,2500.0,2570.0,2540.0,2026-01-09T01:50:05.861050
West Bengal,Nadia,Karimpur APMC,Brinjal,Other,Grade A,08/01/2026,2550.0,2700.0,2600.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Prayagraj,Prayagraj APMC,Carrot,Carrot,FAQ,08/01/2026,1020.0,1100.0,1075.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Prayagraj,Prayagraj APMC,Paddy(Common),Common,FAQ,08/01/2026,1850.0,2720.0,2369.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Prayagraj,Prayagraj APMC,Cauliflower,Cauliflower,FAQ,08/01/2026,1130.0,1170.0,1140.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Prayagraj,Prayagraj APMC,Banana - Green,Banana - Green,FAQ,08/01/2026,1045.0,1130.0,1080.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Prayagraj,Prayagraj APMC,Guava,Guava Alahabad,Medium,08/01/2026,2300.0,5500.0,2340.0,2026-01-09T01:50:05.861050
Haryana,Fatehabad,Tohana APMC,Paddy(Basmati),1121,FAQ,08/01/2026,3425.0,4300.0,4100.0,2026-01-09T01:50:05.861050
Assam,Kokrajhar,Gossaigaon APMC,Ginger(Green),Green Ginger,Local,08/01/2026,5500.0,6500.0,6000.0,2026-01-09T01:50:05.861050
Assam,Kokrajhar,Gossaigaon APMC,Pumpkin,Pumpkin,Local,08/01/2026,1800.0,2000.0,1900.0,2026-01-09T01:50:05.861050
Assam,Kokrajhar,Gossaigaon APMC,Raddish,Raddish,Local,08/01/2026,1200.0,1500.0,1300.0,2026-01-09T01:50:05.861050
Assam,Sibsagar,Sonari APMC,Brinjal,Brinjal,FAQ,08/01/2026,3000.0,3200.0,3100.0,2026-01-09T01:50:05.861050
Assam,Sibsagar,Sonari APMC,Green Chilli,Green Chilly,FAQ,08/01/2026,7000.0,9000.0,8000.0,2026-01-09T01:50:05.861050
Assam,Sibsagar,Sonari APMC,Carrot,Carrot,FAQ,08/01/2026,5200.0,5400.0,5300.0,2026-01-09T01:50:05.861050
Assam,Sibsagar,Sonari APMC,Peas Wet,Peas Wet,FAQ,08/01/2026,4200.0,4400.0,4300.0,2026-01-09T01:50:05.861050
Assam,Sibsagar,Sonari APMC,Pumpkin,Pumpkin,FAQ,08/01/2026,40.0,50.0,45.0,2026-01-09T01:50:05.861050
Assam,Kamrup,Fancy Bazaar APMC,Lentil(Masur)(Whole),Masur Dal,FAQ,08/01/2026,7100.0,8550.0,7550.0,2026-01-09T01:50:05.861050
Assam,Kamrup,Fancy Bazaar APMC,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,08/01/2026,8450.0,10550.0,9350.0,2026-01-09T01:50:05.861050
Assam,Kamrup,Fancy Bazaar APMC,Green Gram Dal(Moong Dal),Green Gram Dal,FAQ,08/01/2026,8650.0,10750.0,9850.0,2026-01-09T01:50:05.861050
Assam,Nagaon,Haibargaon APMC,Green Chilli,Green Chilly,FAQ,08/01/2026,2600.0,3100.0,2800.0,2026-01-09T01:50:05.861050
Assam,Nagaon,Haibargaon APMC,Tomato,Tomato,FAQ,08/01/2026,2750.0,3040.0,2870.0,2026-01-09T01:50:05.861050
Assam,Barpeta,Barpeta Road APMC,Squash(Chappal Kadoo),Other,FAQ,08/01/2026,3500.0,4000.0,3800.0,2026-01-09T01:50:05.861050
Assam,Barpeta,Barpeta Road APMC,Bitter gourd,Bitter Gourd,FAQ,08/01/2026,5000.0,5200.0,5100.0,2026-01-09T01:50:05.861050
