date,commodity,market,price
2020-12-16,Cotton,Delhi,6921.78
2020-12-17,Cotton,Delhi,7050.83
2020-12-18,Cotton,Delhi,7147.96
2020-12-19,Cotton,Delhi,6805.48
2020-12-20,Cotton,Delhi,7066.23
2020-12-21,Cotton,Delhi,7180.24
2020-12-22,Cotton,Delhi,7296.34
2020-12-23,Cotton,Delhi,6937.98
2020-12-24,Cotton,Delhi,6954.66
2020-12-25,Cotton,Delhi,6935.13
2020-12-26,Cotton,Delhi,7009.34
2020-12-27,Cotton,Delhi,6936.31
2020-12-28,Cotton,Delhi,7355.89
2020-12-29,Cotton,Delhi,7341.95
2020-12-30,Cotton,Delhi,7016.62
2020-12-31,Cotton,Delhi,7224.38
2021-01-01,Cotton,Delhi,7312.15
2021-01-02,Cotton,Delhi,6889.11
2021-01-03,Cotton,Delhi,7096.25
2021-01-04,Cotton,Delhi,7259.68
2021-01-05,Cotton,Delhi,7199.98
2021-01-06,Cotton,Delhi,6703.61
2021-01-07,Cotton,Delhi,7162.56
2021-01-08,Cotton,Delhi,6968.18
2021-01-09,Cotton,Delhi,7115.38
2021-01-10,Cotton,Delhi,7237.76
2021-01-11,Cotton,Delhi,7337.0
2021-01-12,Cotton,Delhi,7152.5
2021-01-13,Cotton,Delhi,7327.41
2021-01-14,Cotton,Delhi,7169.92
2021-01-15,Cotton,Delhi,6427.27
2021-01-16,Cotton,Delhi,6940.99
2021-01-17,Cotton,Delhi,7135.14
2021-01-18,Cotton,Delhi,7387.73
2021-01-19,Cotton,Delhi,6954.35
2021-01-20,Cotton,Delhi,7086.62
2021-01-21,Cotton,Delhi,7161.48
2021-01-22,Cotton,Delhi,7167.3
2021-01-23,Cotton,Delhi,7360.05
2021-01-24,Cotton,Delhi,6861.61
2021-01-25,Cotton,Delhi,6903.1
2021-01-26,Cotton,Delhi,6846.91
2021-01-27,Cotton,Delhi,6830.49
2021-01-28,Cotton,Delhi,7133.51
2021-01-29,Cotton,Delhi,7539.86
2021-01-30,Cotton,Delhi,7086.53
2021-01-31,Cotton,Delhi,7005.47
2021-02-01,Cotton,Delhi,7209.96
2021-02-02,Cotton,Delhi,7122.05
2021-02-03,Cotton,Delhi,7012.06
2021-02-04,Cotton,Delhi,7237.7
2021-02-05,Cotton,Delhi,7022.36
2021-02-06,Cotton,Delhi,6916.75
2021-02-07,Cotton,Delhi,6936.31
2021-02-08,Cotton,Delhi,7052.72
2021-02-09,Cotton,Delhi,7089.2
2021-02-10,Cotton,Delhi,7139.69
2021-02-11,Cotton,Delhi,7092.19
2021-02-12,Cotton,Delhi,6809.29
2021-02-13,Cotton,Delhi,7133.83
2021-02-14,Cotton,Delhi,7420.39
2021-02-15,Cotton,Delhi,7077.97
2021-02-16,Cotton,Delhi,7136.53
2021-02-17,Cotton,Delhi,7153.7
2021-02-18,Cotton,Delhi,7339.75
2021-02-19,Cotton,Delhi,7174.14
2021-02-20,Cotton,Delhi,7261.57
2021-02-21,Cotton,Delhi,7142.16
2021-02-22,Cotton,Delhi,7300.09
2021-02-23,Cotton,Delhi,7584.14
2021-02-24,Cotton,Delhi,6989.32
2021-02-25,Cotton,Delhi,7135.97
2021-02-26,Cotton,Delhi,7006.75
2021-02-27,Cotton,Delhi,7111.41
2021-02-28,Cotton,Delhi,7304.61
2021-03-01,Cotton,Delhi,7240.02
2021-03-02,Cotton,Delhi,7416.79
2021-03-03,Cotton,Delhi,6821.89
2021-03-04,Cotton,Delhi,7279.13
2021-03-05,Cotton,Delhi,7449.45
2021-03-06,Cotton,Delhi,7053.41
2021-03-07,Cotton,Delhi,7380.7
2021-03-08,Cotton,Delhi,7213.27
2021-03-09,Cotton,Delhi,7244.03
2021-03-10,Cotton,Delhi,7297.85
2021-03-11,Cotton,Delhi,6980.03
2021-03-12,Cotton,Delhi,7260.16
2021-03-13,Cotton,Delhi,7001.19
2021-03-14,Cotton,Delhi,5734.9
2021-03-15,Cotton,Delhi,5481.64
2021-03-16,Cotton,Delhi,5976.94
2021-03-17,Cotton,Delhi,6108.03
2021-03-18,Cotton,Delhi,6226.91
2021-03-19,Cotton,Delhi,6545.07
