date,commodity,market,price
2020-12-16,Onion,Delhi,2345.54
2020-12-17,Onion,Delhi,2271.15
2020-12-18,Onion,Delhi,2204.09
2020-12-19,Onion,Delhi,2235.31
2020-12-20,Onion,Delhi,2104.57
2020-12-21,Onion,Delhi,2329.28
2020-12-22,Onion,Delhi,2246.69
2020-12-23,Onion,Delhi,2317.77
2020-12-24,Onion,Delhi,2250.4
2020-12-25,Onion,Delhi,2196.54
2020-12-26,Onion,Delhi,2305.09
2020-12-27,Onion,Delhi,2191.79
2020-12-28,Onion,Delhi,2303.55
2020-12-29,Onion,Delhi,2263.42
2020-12-30,Onion,Delhi,2306.09
2020-12-31,Onion,Delhi,2253.89
2021-01-01,Onion,Delhi,2292.53
2021-01-02,Onion,Delhi,2296.05
2021-01-03,Onion,Delhi,2256.93
2021-01-04,Onion,Delhi,2251.92
2021-01-05,Onion,Delhi,2149.54
2021-01-06,Onion,Delhi,2220.14
2021-01-07,Onion,Delhi,2142.24
2021-01-08,Onion,Delhi,2265.0
2021-01-09,Onion,Delhi,2320.7
2021-01-10,Onion,Delhi,2261.4
2021-01-11,Onion,Delhi,2157.4
2021-01-12,Onion,Delhi,2267.43
2021-01-13,Onion,Delhi,2218.57
2021-01-14,Onion,Delhi,2287.44
2021-01-15,Onion,Delhi,2295.89
2021-01-16,Onion,Delhi,2303.77
2021-01-17,Onion,Delhi,2239.59
2021-01-18,Onion,Delhi,2236.42
2021-01-19,Onion,Delhi,2185.79
2021-01-20,Onion,Delhi,2198.75
2021-01-21,Onion,Delhi,2171.78
2021-01-22,Onion,Delhi,2204.41
2021-01-23,Onion,Delhi,2267.49
2021-01-24,Onion,Delhi,2305.28
2021-01-25,Onion,Delhi,2276.53
2021-01-26,Onion,Delhi,2277.33
2021-01-27,Onion,Delhi,2172.45
2021-01-28,Onion,Delhi,2111.44
2021-01-29,Onion,Delhi,2225.65
2021-01-30,Onion,Delhi,2221.25
2021-01-31,Onion,Delhi,2200.82
2021-02-01,Onion,Delhi,2135.78
2021-02-02,Onion,Delhi,2190.44
2021-02-03,Onion,Delhi,2262.53
2021-02-04,Onion,Delhi,2278.35
2021-02-05,Onion,Delhi,2270.34
2021-02-06,Onion,Delhi,2221.53
2021-02-07,Onion,Delhi,2257.75
2021-02-08,Onion,Delhi,2248.83
2021-02-09,Onion,Delhi,2124.63
2021-02-10,Onion,Delhi,2240.99
2021-02-11,Onion,Delhi,2195.91
2021-02-12,Onion,Delhi,2250.19
2021-02-13,Onion,Delhi,2267.02
2021-02-14,Onion,Delhi,2264.76
2021-02-15,Onion,Delhi,2150.61
2021-02-16,Onion,Delhi,2307.16
2021-02-17,Onion,Delhi,2298.37
2021-02-18,Onion,Delhi,2222.32
2021-02-19,Onion,Delhi,2254.19
2021-02-20,Onion,Delhi,2196.75
2021-02-21,Onion,Delhi,2162.04
2021-02-22,Onion,Delhi,2185.63
2021-02-23,Onion,Delhi,2179.72
2021-02-24,Onion,Delhi,2179.28
2021-02-25,Onion,Delhi,2156.05
2021-02-26,Onion,Delhi,2309.1
2021-02-27,Onion,Delhi,2173.84
2021-02-28,Onion,Delhi,2221.14
2021-03-01,Onion,Delhi,2177.8
2021-03-02,Onion,Delhi,2174.45
2021-03-03,Onion,Delhi,2261.36
2021-03-04,Onion,Delhi,2163.46
2021-03-05,Onion,Delhi,2211.28
2021-03-06,Onion,Delhi,2181.11
2021-03-07,Onion,Delhi,2127.46
2021-03-08,Onion,Delhi,2084.65
2021-03-09,Onion,Delhi,2201.6
2021-03-10,Onion,Delhi,2213.64
2021-03-11,Onion,Delhi,2110.83
2021-03-12,Onion,Delhi,2278.8
2021-03-13,Onion,Delhi,2254.68
2021-03-14,Onion,Delhi,2337.43
2021-03-15,Onion,Delhi,2233.9
2021-03-16,Onion,Delhi,2201.82
2021-03-17,Onion,Delhi,2217.57
2021-03-18,Onion,Delhi,2087.05
2021-03-19,Onion,Delhi,2200.02
2021-03-20,Onion,Delhi,2094.12
2021-03-21,Onion,Delhi,2232.99
2021-03-22,Onion,Delhi,2174.29
2021-03-23,Onion,Delhi,2246.86
2021-03-24,Onion,Delhi,2228.19
2021-03-25,Onion,Delhi,2124.49
2021-03-26,Onion,Delhi,2185.99
2021-03-27,Onion,Delhi,2140.94
2021-03-28,Onion,Delhi,2071.82
2021-03-29,Onion,Delhi,2177.73
2021-03-30,Onion,Delhi,2244.06
2021-03-31,Onion,Delhi,2206.9
2021-04-01,Onion,Delhi,2189.15
2021-04-02,Onion,Delhi,2139.56
2021-04-03,Onion,Delhi,2242.82
2021-04-04,Onion,Delhi,2238.86
2021-04-05,Onion,Delhi,2159.65
2021-04-06,Onion,Delhi,2198.52
2021-04-07,Onion,Delhi,2128.41
2021-04-08,Onion,Delhi,2192.46
2021-04-09,Onion,Delhi,2219.26
2021-04-10,Onion,Delhi,2099.7
2021-04-11,Onion,Delhi,2126.19
2021-04-12,Onion,Delhi,2130.91
2021-04-13,Onion,Delhi,2164.7
2021-04-14,Onion,Delhi,2170.04
2021-04-15,Onion,Delhi,2207.06
2021-04-16,Onion,Delhi,2350.98
2021-04-17,Onion,Delhi,2198.95
2021-04-18,Onion,Delhi,2206.45
2021-04-19,Onion,Delhi,2172.11
2021-04-20,Onion,Delhi,2181.96
2021-04-21,Onion,Delhi,2092.25
2021-04-22,Onion,Delhi,2150.98
2021-04-23,Onion,Delhi,2128.79
2021-04-24,Onion,Delhi,2097.42
2021-04-25,Onion,Delhi,2126.44
2021-04-26,Onion,Delhi,2088.54
2021-04-27,Onion,Delhi,2124.84
2021-04-28,Onion,Delhi,2215.04
2021-04-29,Onion,Delhi,2130.81
2021-04-30,Onion,Delhi,2202.38
2021-05-01,Onion,Delhi,2181.1
2021-05-02,Onion,Delhi,2209.65
2021-05-03,Onion,Delhi,2123.46
2021-05-04,Onion,Delhi,2131.71
2021-05-05,Onion,Delhi,2149.97
2021-05-06,Onion,Delhi,2258.48
2021-05-07,Onion,Delhi,2274.78
2021-05-08,Onion,Delhi,2243.38
2021-05-09,Onion,Delhi,2172.03
2021-05-10,Onion,Delhi,2124.25
2021-05-11,Onion,Delhi,2136.93
2021-05-12,Onion,Delhi,2168.32
2021-05-13,Onion,Delhi,2177.83
2021-05-14,Onion,Delhi,2142.16
2021-05-15,Onion,Delhi,2113.08
2021-05-16,Onion,Delhi,2232.63
2021-05-17,Onion,Delhi,2194.32
2021-05-18,Onion,Delhi,2122.76
2021-05-19,Onion,Delhi,2125.94
2021-05-20,Onion,Delhi,2253.55
2021-05-21,Onion,Delhi,2285.82
2021-05-22,Onion,Delhi,2105.52
2021-05-23,Onion,Delhi,2206.33
2021-05-24,Onion,Delhi,2122.4
2021-05-25,Onion,Delhi,2158.88
2021-05-26,Onion,Delhi,2231.17
2021-05-27,Onion,Delhi,2118.87
2021-05-28,Onion,Delhi,2233.08
2021-05-29,Onion,Delhi,2195.45
2021-05-30,Onion,Delhi,2147.5
2021-05-31,Onion,Delhi,2241.24
2021-06-01,Onion,Delhi,2136.73
2021-06-02,Onion,Delhi,2163.56
2021-06-03,Onion,Delhi,2199.78
2021-06-04,Onion,Delhi,2184.22
2021-06-05,Onion,Delhi,2319.73
2021-06-06,Onion,Delhi,2271.17
2021-06-07,Onion,Delhi,2225.62
2021-06-08,Onion,Delhi,2233.15
2021-06-09,Onion,Delhi,2161.24
2021-06-10,Onion,Delhi,2165.34
2021-06-11,Onion,Delhi,2246.53
2021-06-12,Onion,Delhi,2202.81
2021-06-13,Onion,Delhi,2186.17
2021-06-14,Onion,Delhi,2227.08
2021-06-15,Onion,Delhi,2131.53
2021-06-16,Onion,Delhi,2161.2
2021-06-17,Onion,Delhi,2083.67
2021-06-18,Onion,Delhi,2151.09
2021-06-19,Onion,Delhi,2236.9
2021-06-20,Onion,Delhi,2202.77
2021-06-21,Onion,Delhi,2170.69
2021-06-22,Onion,Delhi,2181.36
2021-06-23,Onion,Delhi,2148.98
2021-06-24,Onion,Delhi,2209.21
2021-06-25,Onion,Delhi,2239.27
2021-06-26,Onion,Delhi,2163.39
2021-06-27,Onion,Delhi,2167.31
2021-06-28,Onion,Delhi,2185.83
2021-06-29,Onion,Delhi,2227.09
2021-06-30,Onion,Delhi,2189.67
2021-07-01,Onion,Delhi,2214.79
2021-07-02,Onion,Delhi,2235.32
2021-07-03,Onion,Delhi,2268.47
