date,commodity,market,price
2020-12-16,Potato,Delhi,1796.08
2020-12-17,Potato,Delhi,1891.4
2020-12-18,Potato,Delhi,1828.65
2020-12-19,Potato,Delhi,1845.01
2020-12-20,Potato,Delhi,1911.86
2020-12-21,Potato,Delhi,1853.17
2020-12-22,Potato,Delhi,1762.41
2020-12-23,Potato,Delhi,1792.19
2020-12-24,Potato,Delhi,1857.03
2020-12-25,Potato,Delhi,1857.61
2020-12-26,Potato,Delhi,1946.83
2020-12-27,Potato,Delhi,1866.34
2020-12-28,Potato,Delhi,1831.23
2020-12-29,Potato,Delhi,1830.73
2020-12-30,Potato,Delhi,1894.74
2020-12-31,Potato,Delhi,1873.55
2021-01-01,Potato,Delhi,1865.32
2021-01-02,Potato,Delhi,1884.32
2021-01-03,Potato,Delhi,2235.06
2021-01-04,Potato,Delhi,2163.14
2021-01-05,Potato,Delhi,2145.97
2021-01-06,Potato,Delhi,2093.49
2021-01-07,Potato,Delhi,2060.72
2021-01-08,Potato,Delhi,1953.29
2021-01-09,Potato,Delhi,2003.02
2021-01-10,Potato,Delhi,2033.59
2021-01-11,Potato,Delhi,1874.25
2021-01-12,Potato,Delhi,2016.5
2021-01-13,Potato,Delhi,1978.49
2021-01-14,Potato,Delhi,1904.37
2021-01-15,Potato,Delhi,1872.21
2021-01-16,Potato,Delhi,1958.19
2021-01-17,Potato,Delhi,1908.6
2021-01-18,Potato,Delhi,1865.23
2021-01-19,Potato,Delhi,1866.75
2021-01-20,Potato,Delhi,1931.47
2021-01-21,Potato,Delhi,1814.72
2021-01-22,Potato,Delhi,1870.83
2021-01-23,Potato,Delhi,1855.01
2021-01-24,Potato,Delhi,1935.66
2021-01-25,Potato,Delhi,1837.87
2021-01-26,Potato,Delhi,1794.33
2021-01-27,Potato,Delhi,1856.9
2021-01-28,Potato,Delhi,1843.82
2021-01-29,Potato,Delhi,1798.76
2021-01-30,Potato,Delhi,1857.09
2021-01-31,Potato,Delhi,1865.38
2021-02-01,Potato,Delhi,1853.83
2021-02-02,Potato,Delhi,1897.1
2021-02-03,Potato,Delhi,1795.22
2021-02-04,Potato,Delhi,1792.16
2021-02-05,Potato,Delhi,1855.06
2021-02-06,Potato,Delhi,1877.43
2021-02-07,Potato,Delhi,1796.01
2021-02-08,Potato,Delhi,1859.12
2021-02-09,Potato,Delhi,1824.06
2021-02-10,Potato,Delhi,1760.99
2021-02-11,Potato,Delhi,1901.28
2021-02-12,Potato,Delhi,1806.96
2021-02-13,Potato,Delhi,1830.64
2021-02-14,Potato,Delhi,1917.69
2021-02-15,Potato,Delhi,1838.97
2021-02-16,Potato,Delhi,1735.11
2021-02-17,Potato,Delhi,1841.81
2021-02-18,Potato,Delhi,1871.74
2021-02-19,Potato,Delhi,1898.1
2021-02-20,Potato,Delhi,1728.42
2021-02-21,Potato,Delhi,1769.18
2021-02-22,Potato,Delhi,1830.82
2021-02-23,Potato,Delhi,1896.73
2021-02-24,Potato,Delhi,1774.0
2021-02-25,Potato,Delhi,1820.81
2021-02-26,Potato,Delhi,1836.98
2021-02-27,Potato,Delhi,1876.78
2021-02-28,Potato,Delhi,1803.95
2021-03-01,Potato,Delhi,1815.45
2021-03-02,Potato,Delhi,1787.79
2021-03-03,Potato,Delhi,1859.7
2021-03-04,Potato,Delhi,1772.95
2021-03-05,Potato,Delhi,1864.34
2021-03-06,Potato,Delhi,1829.71
2021-03-07,Potato,Delhi,1776.6
2021-03-08,Potato,Delhi,1802.52
2021-03-09,Potato,Delhi,1904.37
2021-03-10,Potato,Delhi,1781.04
2021-03-11,Potato,Delhi,1800.53
2021-03-12,Potato,Delhi,1843.23
2021-03-13,Potato,Delhi,1852.48
2021-03-14,Potato,Delhi,1866.48
2021-03-15,Potato,Delhi,1889.18
2021-03-16,Potato,Delhi,1832.03
2021-03-17,Potato,Delhi,1762.59
2021-03-18,Potato,Delhi,1761.13
2021-03-19,Potato,Delhi,1723.37
2021-03-20,Potato,Delhi,1798.55
2021-03-21,Potato,Delhi,1808.36
2021-03-22,Potato,Delhi,1791.84
2021-03-23,Potato,Delhi,1738.96
2021-03-24,Potato,Delhi,1777.17
2021-03-25,Potato,Delhi,1771.97
2021-03-26,Potato,Delhi,1736.32
2021-03-27,Potato,Delhi,1832.02
2021-03-28,Potato,Delhi,1790.3
2021-03-29,Potato,Delhi,1776.23
2021-03-30,Potato,Delhi,1873.34
2021-03-31,Potato,Delhi,1858.03
2021-04-01,Potato,Delhi,1733.59
2021-04-02,Potato,Delhi,1881.82
2021-04-03,Potato,Delhi,1925.2
2021-04-04,Potato,Delhi,1874.46
2021-04-05,Potato,Delhi,1768.91
2021-04-06,Potato,Delhi,1813.98
2021-04-07,Potato,Delhi,1798.56
2021-04-08,Potato,Delhi,1792.17
2021-04-09,Potato,Delhi,1831.68
2021-04-10,Potato,Delhi,1696.85
2021-04-11,Potato,Delhi,1850.51
2021-04-12,Potato,Delhi,1827.88
2021-04-13,Potato,Delhi,1736.48
2021-04-14,Potato,Delhi,1874.94
2021-04-15,Potato,Delhi,1803.87
2021-04-16,Potato,Delhi,1783.1
2021-04-17,Potato,Delhi,1804.56
2021-04-18,Potato,Delhi,1806.56
2021-04-19,Potato,Delhi,1785.1
2021-04-20,Potato,Delhi,1755.32
2021-04-21,Potato,Delhi,1838.51
2021-04-22,Potato,Delhi,1745.39
2021-04-23,Potato,Delhi,1847.45
2021-04-24,Potato,Delhi,1842.22
2021-04-25,Potato,Delhi,1744.05
2021-04-26,Potato,Delhi,1776.7
2021-04-27,Potato,Delhi,1700.96
2021-04-28,Potato,Delhi,1787.76
2021-04-29,Potato,Delhi,1861.82
2021-04-30,Potato,Delhi,1745.22
2021-05-01,Potato,Delhi,1683.08
2021-05-02,Potato,Delhi,1800.24
2021-05-03,Potato,Delhi,1804.98
2021-05-04,Potato,Delhi,1750.87
2021-05-05,Potato,Delhi,1830.53
2021-05-06,Potato,Delhi,1797.59
2021-05-07,Potato,Delhi,1812.41
2021-05-08,Potato,Delhi,1876.0
2021-05-09,Potato,Delhi,1813.59
2021-05-10,Potato,Delhi,1749.33
2021-05-11,Potato,Delhi,1770.92
2021-05-12,Potato,Delhi,1835.33
2021-05-13,Potato,Delhi,1782.1
2021-05-14,Potato,Delhi,1737.46
2021-05-15,Potato,Delhi,1741.04
2021-05-16,Potato,Delhi,1752.5
2021-05-17,Potato,Delhi,1872.63
2021-05-18,Potato,Delhi,1789.9
2021-05-19,Potato,Delhi,1788.71
2021-05-20,Potato,Delhi,1737.83
2021-05-21,Potato,Delhi,1724.41
2021-05-22,Potato,Delhi,1847.11
2021-05-23,Potato,Delhi,1810.31
2021-05-24,Potato,Delhi,1751.36
2021-05-25,Potato,Delhi,1794.89
2021-05-26,Potato,Delhi,1846.23
2021-05-27,Potato,Delhi,1818.61
2021-05-28,Potato,Delhi,1713.83
2021-05-29,Potato,Delhi,1795.12
2021-05-30,Potato,Delhi,1778.04
2021-05-31,Potato,Delhi,1867.46
2021-06-01,Potato,Delhi,1800.27
2021-06-02,Potato,Delhi,1866.6
2021-06-03,Potato,Delhi,1805.77
2021-06-04,Potato,Delhi,1774.7
2021-06-05,Potato,Delhi,1803.62
2021-06-06,Potato,Delhi,1837.7
2021-06-07,Potato,Delhi,1758.32
2021-06-08,Potato,Delhi,1762.4
2021-06-09,Potato,Delhi,1817.26
2021-06-10,Potato,Delhi,1785.17
2021-06-11,Potato,Delhi,1753.65
2021-06-12,Potato,Delhi,1735.68
2021-06-13,Potato,Delhi,1772.71
2021-06-14,Potato,Delhi,1750.07
2021-06-15,Potato,Delhi,1792.72
2021-06-16,Potato,Delhi,1828.52
2021-06-17,Potato,Delhi,1789.55
2021-06-18,Potato,Delhi,1809.75
2021-06-19,Potato,Delhi,1826.38
2021-06-20,Potato,Delhi,1716.54
2021-06-21,Potato,Delhi,1776.86
2021-06-22,Potato,Delhi,1771.27
2021-06-23,Potato,Delhi,1809.74
2021-06-24,Potato,Delhi,1819.29
2021-06-25,Potato,Delhi,1754.83
2021-06-26,Potato,Delhi,1774.33
2021-06-27,Potato,Delhi,1878.4
2021-06-28,Potato,Delhi,1828.48
2021-06-29,Potato,Delhi,1806.37
2021-06-30,Potato,Delhi,1862.49
2021-07-01,Potato,Delhi,1845.11
2021-07-02,Potato,Delhi,1834.54
2021-07-03,Potato,Delhi,1842.08
2021-07-04,Potato,Delhi,1794.29
2021-07-05,Potato,Delhi,1777.21
2021-07-06,Potato,Delhi,1853.49
2021-07-07,Potato,Delhi,1798.61
2021-07-08,Potato,Delhi,1799.66
2021-07-09,Potato,Delhi,1898.02
2021-07-10,Potato,Delhi,1820.47
2021-07-11,Potato,Delhi,1860.03
2021-07-12,Potato,Delhi,1770.47
2021-07-13,Potato,Delhi,1832.81
2021-07-14,Potato,Delhi,1831.16
2021-07-15,Potato,Delhi,1816.58
2021-07-16,Potato,Delhi,1869.45
2021-07-17,Potato,Delhi,1829.45
2021-07-18,Potato,Delhi,1862.67
2021-07-19,Potato,Delhi,1856.33
2021-07-20,Potato,Delhi,1803.95
2021-07-21,Potato,Delhi,1888.74
2021-07-22,Potato,Delhi,1794.3
2021-07-23,Potato,Delhi,1840.01
2021-07-24,Potato,Delhi,1909.98
2021-07-25,Potato,Delhi,1814.62
2021-07-26,Potato,Delhi,1795.4
2021-07-27,Potato,Delhi,1817.03
2021-07-28,Potato,Delhi,1867.76
2021-07-29,Potato,Delhi,1773.7
2021-07-30,Potato,Delhi,1775.08
2021-07-31,Potato,Delhi,1815.75
2021-08-01,Potato,Delhi,1902.68
2021-08-02,Potato,Delhi,1801.42
2021-08-03,Potato,Delhi,1787.15
2021-08-04,Potato,Delhi,1777.4
2021-08-05,Potato,Delhi,1847.13
2021-08-06,Potato,Delhi,1878.35
2021-08-07,Potato,Delhi,1920.14
2021-08-08,Potato,Delhi,1850.45
2021-08-09,Potato,Delhi,1830.13
2021-08-10,Potato,Delhi,1855.16
2021-08-11,Potato,Delhi,1880.01
2021-08-12,Potato,Delhi,1877.47
2021-08-13,Potato,Delhi,1923.54
2021-08-14,Potato,Delhi,1866.16
2021-08-15,Potato,Delhi,1875.21
2021-08-16,Potato,Delhi,1795.14
2021-08-17,Potato,Delhi,1942.58
2021-08-18,Potato,Delhi,1945.99
2021-08-19,Potato,Delhi,1817.26
2021-08-20,Potato,Delhi,1937.04
2021-08-21,Potato,Delhi,1903.14
2021-08-22,Potato,Delhi,1884.38
2021-08-23,Potato,Delhi,1865.01
2021-08-24,Potato,Delhi,1814.67
2021-08-25,Potato,Delhi,1840.76
2021-08-26,Potato,Delhi,1913.69
2021-08-27,Potato,Delhi,1895.74
2021-08-28,Potato,Delhi,1828.04
2021-08-29,Potato,Delhi,1888.59
2021-08-30,Potato,Delhi,1865.53
2021-08-31,Potato,Delhi,1882.82
2021-09-01,Potato,Delhi,1847.82
2021-09-02,Potato,Delhi,1887.63
2021-09-03,Potato,Delhi,1863.55
2021-09-04,Potato,Delhi,1829.49
2021-09-05,Potato,Delhi,1902.67
2021-09-06,Potato,Delhi,1934.64
2021-09-07,Potato,Delhi,1839.11
2021-09-08,Potato,Delhi,1841.65
2021-09-09,Potato,Delhi,1965.95
2021-09-10,Potato,Delhi,1869.11
2021-09-11,Potato,Delhi,1789.85
2021-09-12,Potato,Delhi,1889.28
2021-09-13,Potato,Delhi,1890.67
2021-09-14,Potato,Delhi,1888.71
2021-09-15,Potato,Delhi,1897.86
2021-09-16,Potato,Delhi,1887.97
2021-09-17,Potato,Delhi,1874.38
2021-09-18,Potato,Delhi,1958.52
2021-09-19,Potato,Delhi,1905.02
2021-09-20,Potato,Delhi,1883.99
2021-09-21,Potato,Delhi,1901.69
2021-09-22,Potato,Delhi,2021.69
2021-09-23,Potato,Delhi,1978.11
2021-09-24,Potato,Delhi,1952.15
2021-09-25,Potato,Delhi,1956.87
2021-09-26,Potato,Delhi,1928.98
2021-09-27,Potato,Delhi,1893.25
2021-09-28,Potato,Delhi,1929.91
2021-09-29,Potato,Delhi,1948.08
2021-09-30,Potato,Delhi,1947.12
2021-10-01,Potato,Delhi,1911.04
2021-10-02,Potato,Delhi,1983.18
2021-10-03,Potato,Delhi,1902.99
2021-10-04,Potato,Delhi,1925.14
2021-10-05,Potato,Delhi,1879.0
2021-10-06,Potato,Delhi,1963.97
2021-10-07,Potato,Delhi,1994.53
2021-10-08,Potato,Delhi,1964.43
2021-10-09,Potato,Delhi,1965.39
2021-10-10,Potato,Delhi,1956.74
2021-10-11,Potato,Delhi,1939.44
2021-10-12,Potato,Delhi,1872.21
2021-10-13,Potato,Delhi,1953.06
2021-10-14,Potato,Delhi,1949.55
2021-10-15,Potato,Delhi,1964.17
2021-10-16,Potato,Delhi,2031.35
2021-10-17,Potato,Delhi,1994.54
2021-10-18,Potato,Delhi,2046.79
2021-10-19,Potato,Delhi,2041.84
2021-10-20,Potato,Delhi,1939.78
2021-10-21,Potato,Delhi,1946.36
2021-10-22,Potato,Delhi,1990.63
2021-10-23,Potato,Delhi,2057.29
2021-10-24,Potato,Delhi,1988.81
2021-10-25,Potato,Delhi,1944.21
2021-10-26,Potato,Delhi,1970.56
2021-10-27,Potato,Delhi,1947.19
2021-10-28,Potato,Delhi,1945.24
