date,commodity,market,price
2020-12-16,Rice,Delhi,4177.68
2020-12-17,Rice,Delhi,4042.94
2020-12-18,Rice,Delhi,4159.24
2020-12-19,Rice,Delhi,4019.96
2020-12-20,Rice,Delhi,4245.29
2020-12-21,Rice,Delhi,4186.9
2020-12-22,Rice,Delhi,4216.98
2020-12-23,Rice,Delhi,4202.56
2020-12-24,Rice,Delhi,3979.9
2020-12-25,Rice,Delhi,4113.78
2020-12-26,Rice,Delhi,4063.68
2020-12-27,Rice,Delhi,4197.94
2020-12-28,Rice,Delhi,4138.16
2020-12-29,Rice,Delhi,4018.45
2020-12-30,Rice,Delhi,4280.49
2020-12-31,Rice,Delhi,4164.89
2021-01-01,Rice,Delhi,4047.0
2021-01-02,Rice,Delhi,4183.93
2021-01-03,Rice,Delhi,4025.85
2021-01-04,Rice,Delhi,4055.35
2021-01-05,Rice,Delhi,4057.3
2021-01-06,Rice,Delhi,4025.13
2021-01-07,Rice,Delhi,4075.48
2021-01-08,Rice,Delhi,3810.48
2021-01-09,Rice,Delhi,4083.07
2021-01-10,Rice,Delhi,4184.31
2021-01-11,Rice,Delhi,3984.89
2021-01-12,Rice,Delhi,4086.32
2021-01-13,Rice,Delhi,4088.91
2021-01-14,Rice,Delhi,4088.93
2021-01-15,Rice,Delhi,3993.62
2021-01-16,Rice,Delhi,4237.54
2021-01-17,Rice,Delhi,4085.27
2021-01-18,Rice,Delhi,4221.17
2021-01-19,Rice,Delhi,4259.01
2021-01-20,Rice,Delhi,4189.38
2021-01-21,Rice,Delhi,4047.35
2021-01-22,Rice,Delhi,4168.0
2021-01-23,Rice,Delhi,4192.88
2021-01-24,Rice,Delhi,4035.11
2021-01-25,Rice,Delhi,4236.81
2021-01-26,Rice,Delhi,4181.63
2021-01-27,Rice,Delhi,4183.36
2021-01-28,Rice,Delhi,4127.12
2021-01-29,Rice,Delhi,4080.88
2021-01-30,Rice,Delhi,4062.84
2021-01-31,Rice,Delhi,4040.34
2021-02-01,Rice,Delhi,4120.74
2021-02-02,Rice,Delhi,4084.51
2021-02-03,Rice,Delhi,4109.06
2021-02-04,Rice,Delhi,4201.85
2021-02-05,Rice,Delhi,4013.6
2021-02-06,Rice,Delhi,4196.21
2021-02-07,Rice,Delhi,4311.96
2021-02-08,Rice,Delhi,4257.99
2021-02-09,Rice,Delhi,4159.13
2021-02-10,Rice,Delhi,4386.98
2021-02-11,Rice,Delhi,4244.35
2021-02-12,Rice,Delhi,4052.67
2021-02-13,Rice,Delhi,4210.72
2021-02-14,Rice,Delhi,4492.41
2021-02-15,Rice,Delhi,4348.93
2021-02-16,Rice,Delhi,4219.06
2021-02-17,Rice,Delhi,4368.76
2021-02-18,Rice,Delhi,4207.85
2021-02-19,Rice,Delhi,4228.53
2021-02-20,Rice,Delhi,4080.53
2021-02-21,Rice,Delhi,4286.19
2021-02-22,Rice,Delhi,4335.51
2021-02-23,Rice,Delhi,4259.47
2021-02-24,Rice,Delhi,4142.47
2021-02-25,Rice,Delhi,4320.23
2021-02-26,Rice,Delhi,4242.06
2021-02-27,Rice,Delhi,4123.8
2021-02-28,Rice,Delhi,4258.0
2021-03-01,Rice,Delhi,4138.57
2021-03-02,Rice,Delhi,4155.73
2021-03-03,Rice,Delhi,4268.79
2021-03-04,Rice,Delhi,4221.03
2021-03-05,Rice,Delhi,4202.91
2021-03-06,Rice,Delhi,4245.29
2021-03-07,Rice,Delhi,4360.11
2021-03-08,Rice,Delhi,4265.22
2021-03-09,Rice,Delhi,4282.98
2021-03-10,Rice,Delhi,4005.36
2021-03-11,Rice,Delhi,4340.84
2021-03-12,Rice,Delhi,4279.51
2021-03-13,Rice,Delhi,4382.17
2021-03-14,Rice,Delhi,4410.86
2021-03-15,Rice,Delhi,4159.69
2021-03-16,Rice,Delhi,4410.55
2021-03-17,Rice,Delhi,4266.14
2021-03-18,Rice,Delhi,4173.05
2021-03-19,Rice,Delhi,4174.35
2021-03-20,Rice,Delhi,4316.57
2021-03-21,Rice,Delhi,4240.01
2021-03-22,Rice,Delhi,4335.54
2021-03-23,Rice,Delhi,4272.18
2021-03-24,Rice,Delhi,4326.12
2021-03-25,Rice,Delhi,4207.45
2021-03-26,Rice,Delhi,4182.67
