date,commodity,market,price
2020-12-16,Soybean,Delhi,4997.79
2020-12-17,Soybean,Delhi,4733.15
2020-12-18,Soybean,Delhi,4784.32
2020-12-19,Soybean,Delhi,4992.71
2020-12-20,Soybean,Delhi,5240.07
2020-12-21,Soybean,Delhi,4944.05
2020-12-22,Soybean,Delhi,4841.0
2020-12-23,Soybean,Delhi,4906.48
2020-12-24,Soybean,Delhi,4807.61
2020-12-25,Soybean,Delhi,5120.84
2020-12-26,Soybean,Delhi,5059.59
2020-12-27,Soybean,Delhi,5005.88
2020-12-28,Soybean,Delhi,5183.65
2020-12-29,Soybean,Delhi,4948.92
2020-12-30,Soybean,Delhi,5007.4
2020-12-31,Soybean,Delhi,5231.24
2021-01-01,Soybean,Delhi,4929.86
2021-01-02,Soybean,Delhi,5118.88
2021-01-03,Soybean,Delhi,4860.71
2021-01-04,Soybean,Delhi,5062.01
2021-01-05,Soybean,Delhi,4950.91
2021-01-06,Soybean,Delhi,5117.76
2021-01-07,Soybean,Delhi,4944.7
2021-01-08,Soybean,Delhi,5072.43
2021-01-09,Soybean,Delhi,5004.82
2021-01-10,Soybean,Delhi,4903.44
2021-01-11,Soybean,Delhi,4800.48
2021-01-12,Soybean,Delhi,4747.05
2021-01-13,Soybean,Delhi,4918.45
2021-01-14,Soybean,Delhi,5043.93
2021-01-15,Soybean,Delhi,4993.44
2021-01-16,Soybean,Delhi,5226.67
2021-01-17,Soybean,Delhi,5221.85
2021-01-18,Soybean,Delhi,5069.13
2021-01-19,Soybean,Delhi,5079.54
2021-01-20,Soybean,Delhi,5051.49
2021-01-21,Soybean,Delhi,5047.66
2021-01-22,Soybean,Delhi,5233.47
2021-01-23,Soybean,Delhi,5105.94
2021-01-24,Soybean,Delhi,4853.16
2021-01-25,Soybean,Delhi,4982.33
2021-01-26,Soybean,Delhi,5039.74
2021-01-27,Soybean,Delhi,5021.81
2021-01-28,Soybean,Delhi,5120.73
2021-01-29,Soybean,Delhi,5028.69
2021-01-30,Soybean,Delhi,4880.19
2021-01-31,Soybean,Delhi,4965.85
2021-02-01,Soybean,Delhi,4971.7
2021-02-02,Soybean,Delhi,4915.86
2021-02-03,Soybean,Delhi,5031.78
2021-02-04,Soybean,Delhi,4836.38
2021-02-05,Soybean,Delhi,5001.8
2021-02-06,Soybean,Delhi,5083.43
2021-02-07,Soybean,Delhi,6063.65
2021-02-08,Soybean,Delhi,6007.53
2021-02-09,Soybean,Delhi,5717.85
2021-02-10,Soybean,Delhi,5706.73
2021-02-11,Soybean,Delhi,5733.78
2021-02-12,Soybean,Delhi,5593.78
2021-02-13,Soybean,Delhi,5492.8
2021-02-14,Soybean,Delhi,5228.15
2021-02-15,Soybean,Delhi,5260.99
2021-02-16,Soybean,Delhi,5449.46
2021-02-17,Soybean,Delhi,5328.79
2021-02-18,Soybean,Delhi,5272.56
2021-02-19,Soybean,Delhi,5246.86
2021-02-20,Soybean,Delhi,5146.67
2021-02-21,Soybean,Delhi,5267.17
2021-02-22,Soybean,Delhi,4951.82
2021-02-23,Soybean,Delhi,5340.28
2021-02-24,Soybean,Delhi,5076.79
2021-02-25,Soybean,Delhi,5169.48
2021-02-26,Soybean,Delhi,5126.27
2021-02-27,Soybean,Delhi,5118.05
2021-02-28,Soybean,Delhi,5141.85
2021-03-01,Soybean,Delhi,5006.18
2021-03-02,Soybean,Delhi,5010.58
2021-03-03,Soybean,Delhi,4916.82
2021-03-04,Soybean,Delhi,5036.72
2021-03-05,Soybean,Delhi,5056.27
2021-03-06,Soybean,Delhi,5016.63
2021-03-07,Soybean,Delhi,4770.65
2021-03-08,Soybean,Delhi,4901.55
2021-03-09,Soybean,Delhi,4971.79
2021-03-10,Soybean,Delhi,5072.2
2021-03-11,Soybean,Delhi,5042.34
2021-03-12,Soybean,Delhi,5174.4
2021-03-13,Soybean,Delhi,5174.42
2021-03-14,Soybean,Delhi,5235.15
2021-03-15,Soybean,Delhi,4935.9
2021-03-16,Soybean,Delhi,4899.1
2021-03-17,Soybean,Delhi,4895.92
2021-03-18,Soybean,Delhi,5119.15
2021-03-19,Soybean,Delhi,5367.4
2021-03-20,Soybean,Delhi,5189.06
2021-03-21,Soybean,Delhi,5082.1
2021-03-22,Soybean,Delhi,5048.45
2021-03-23,Soybean,Delhi,5186.66
2021-03-24,Soybean,Delhi,5153.18
2021-03-25,Soybean,Delhi,5066.11
2021-03-26,Soybean,Delhi,5089.6
2021-03-27,Soybean,Delhi,5131.31
2021-03-28,Soybean,Delhi,5101.96
2021-03-29,Soybean,Delhi,5180.84
2021-03-30,Soybean,Delhi,4947.04
2021-03-31,Soybean,Delhi,5102.0
2021-04-01,Soybean,Delhi,5284.53
2021-04-02,Soybean,Delhi,5163.6
2021-04-03,Soybean,Delhi,4936.41
2021-04-04,Soybean,Delhi,4971.77
2021-04-05,Soybean,Delhi,5007.77
2021-04-06,Soybean,Delhi,5119.05
2021-04-07,Soybean,Delhi,5146.47
2021-04-08,Soybean,Delhi,5135.11
2021-04-09,Soybean,Delhi,5060.17
2021-04-10,Soybean,Delhi,5190.96
2021-04-11,Soybean,Delhi,5020.73
2021-04-12,Soybean,Delhi,5037.33
2021-04-13,Soybean,Delhi,3598.19
2021-04-14,Soybean,Delhi,3986.19
2021-04-15,Soybean,Delhi,3926.92
2021-04-16,Soybean,Delhi,3906.43
2021-04-17,Soybean,Delhi,4161.62
2021-04-18,Soybean,Delhi,4393.64
2021-04-19,Soybean,Delhi,4275.18
2021-04-20,Soybean,Delhi,4496.9
2021-04-21,Soybean,Delhi,4739.83
2021-04-22,Soybean,Delhi,4500.84
2021-04-23,Soybean,Delhi,4486.68
2021-04-24,Soybean,Delhi,4662.61
2021-04-25,Soybean,Delhi,4949.6
2021-04-26,Soybean,Delhi,4928.93
2021-04-27,Soybean,Delhi,4979.56
2021-04-28,Soybean,Delhi,4973.14
2021-04-29,Soybean,Delhi,4989.43
2021-04-30,Soybean,Delhi,5170.15
2021-05-01,Soybean,Delhi,5182.8
2021-05-02,Soybean,Delhi,5066.12
2021-05-03,Soybean,Delhi,4842.69
2021-05-04,Soybean,Delhi,5235.09
2021-05-05,Soybean,Delhi,5203.88
2021-05-06,Soybean,Delhi,5253.3
2021-05-07,Soybean,Delhi,5066.36
2021-05-08,Soybean,Delhi,4902.32
2021-05-09,Soybean,Delhi,5053.4
2021-05-10,Soybean,Delhi,5111.51
2021-05-11,Soybean,Delhi,5011.14
2021-05-12,Soybean,Delhi,5177.74
2021-05-13,Soybean,Delhi,5192.08
2021-05-14,Soybean,Delhi,5336.56
2021-05-15,Soybean,Delhi,5362.46
2021-05-16,Soybean,Delhi,5036.54
2021-05-17,Soybean,Delhi,5231.25
2021-05-18,Soybean,Delhi,5327.28
2021-05-19,Soybean,Delhi,4943.01
2021-05-20,Soybean,Delhi,4936.02
2021-05-21,Soybean,Delhi,5041.54
2021-05-22,Soybean,Delhi,5058.32
2021-05-23,Soybean,Delhi,5033.21
2021-05-24,Soybean,Delhi,5151.14
2021-05-25,Soybean,Delhi,5233.23
2021-05-26,Soybean,Delhi,5031.5
2021-05-27,Soybean,Delhi,5117.3
2021-05-28,Soybean,Delhi,5217.46
2021-05-29,Soybean,Delhi,5182.93
2021-05-30,Soybean,Delhi,5252.27
2021-05-31,Soybean,Delhi,5124.68
2021-06-01,Soybean,Delhi,5344.15
2021-06-02,Soybean,Delhi,4973.0
2021-06-03,Soybean,Delhi,5151.39
2021-06-04,Soybean,Delhi,4999.37
2021-06-05,Soybean,Delhi,5081.95
2021-06-06,Soybean,Delhi,5216.49
2021-06-07,Soybean,Delhi,5275.59
2021-06-08,Soybean,Delhi,5282.96
2021-06-09,Soybean,Delhi,5073.5
2021-06-10,Soybean,Delhi,5099.16
2021-06-11,Soybean,Delhi,5031.0
2021-06-12,Soybean,Delhi,5200.1
2021-06-13,Soybean,Delhi,5176.16
2021-06-14,Soybean,Delhi,5019.38
2021-06-15,Soybean,Delhi,5279.56
2021-06-16,Soybean,Delhi,5093.9
2021-06-17,Soybean,Delhi,5193.5
2021-06-18,Soybean,Delhi,5078.26
2021-06-19,Soybean,Delhi,5212.34
2021-06-20,Soybean,Delhi,4931.24
