date,commodity,market,price
2020-12-16,Tomato,Delhi,2919.36
2020-12-17,Tomato,Delhi,3024.36
2020-12-18,Tomato,Delhi,3136.7
2020-12-19,Tomato,Delhi,2992.92
2020-12-20,Tomato,Delhi,3036.86
2020-12-21,Tomato,Delhi,2924.39
2020-12-22,Tomato,Delhi,2984.8
2020-12-23,Tomato,Delhi,2945.02
2020-12-24,Tomato,Delhi,3163.39
2020-12-25,Tomato,Delhi,2984.1
2020-12-26,Tomato,Delhi,3130.52
2020-12-27,Tomato,Delhi,3117.05
2020-12-28,Tomato,Delhi,2995.87
2020-12-29,Tomato,Delhi,2985.37
2020-12-30,Tomato,Delhi,3105.01
2020-12-31,Tomato,Delhi,2927.19
2021-01-01,Tomato,Delhi,3066.86
2021-01-02,Tomato,Delhi,2912.95
2021-01-03,Tomato,Delhi,3095.04
2021-01-04,Tomato,Delhi,2975.32
2021-01-05,Tomato,Delhi,3004.56
2021-01-06,Tomato,Delhi,2832.3
2021-01-07,Tomato,Delhi,2956.84
2021-01-08,Tomato,Delhi,2864.68
2021-01-09,Tomato,Delhi,3017.76
2021-01-10,Tomato,Delhi,3109.53
2021-01-11,Tomato,Delhi,2957.73
2021-01-12,Tomato,Delhi,2953.62
2021-01-13,Tomato,Delhi,3858.31
2021-01-14,Tomato,Delhi,3905.17
2021-01-15,Tomato,Delhi,3691.15
2021-01-16,Tomato,Delhi,3627.32
2021-01-17,Tomato,Delhi,3619.46
2021-01-18,Tomato,Delhi,3544.57
2021-01-19,Tomato,Delhi,3430.16
2021-01-20,Tomato,Delhi,3321.56
2021-01-21,Tomato,Delhi,3136.56
2021-01-22,Tomato,Delhi,3021.33
2021-01-23,Tomato,Delhi,3066.35
2021-01-24,Tomato,Delhi,2872.25
2021-01-25,Tomato,Delhi,2924.98
2021-01-26,Tomato,Delhi,3009.05
2021-01-27,Tomato,Delhi,2965.45
2021-01-28,Tomato,Delhi,3093.78
2021-01-29,Tomato,Delhi,2976.88
2021-01-30,Tomato,Delhi,2970.5
2021-01-31,Tomato,Delhi,2848.98
2021-02-01,Tomato,Delhi,2908.22
2021-02-02,Tomato,Delhi,3078.91
2021-02-03,Tomato,Delhi,2977.88
2021-02-04,Tomato,Delhi,3176.2
2021-02-05,Tomato,Delhi,2955.98
2021-02-06,Tomato,Delhi,2997.69
2021-02-07,Tomato,Delhi,2964.34
2021-02-08,Tomato,Delhi,3032.93
2021-02-09,Tomato,Delhi,3125.37
2021-02-10,Tomato,Delhi,2956.8
2021-02-11,Tomato,Delhi,3123.44
2021-02-12,Tomato,Delhi,3074.75
2021-02-13,Tomato,Delhi,3021.57
2021-02-14,Tomato,Delhi,2993.92
2021-02-15,Tomato,Delhi,3081.13
2021-02-16,Tomato,Delhi,3073.91
2021-02-17,Tomato,Delhi,3010.4
2021-02-18,Tomato,Delhi,2945.74
2021-02-19,Tomato,Delhi,2958.76
2021-02-20,Tomato,Delhi,2972.54
2021-02-21,Tomato,Delhi,3030.61
2021-02-22,Tomato,Delhi,2945.29
2021-02-23,Tomato,Delhi,2952.95
2021-02-24,Tomato,Delhi,3021.29
2021-02-25,Tomato,Delhi,2981.63
2021-02-26,Tomato,Delhi,2991.77
2021-02-27,Tomato,Delhi,3026.96
2021-02-28,Tomato,Delhi,3146.58
2021-03-01,Tomato,Delhi,2868.64
2021-03-02,Tomato,Delhi,2881.23
2021-03-03,Tomato,Delhi,3007.86
2021-03-04,Tomato,Delhi,3017.42
2021-03-05,Tomato,Delhi,3046.64
2021-03-06,Tomato,Delhi,3045.72
2021-03-07,Tomato,Delhi,2991.43
2021-03-08,Tomato,Delhi,2999.77
2021-03-09,Tomato,Delhi,2869.55
2021-03-10,Tomato,Delhi,2956.5
2021-03-11,Tomato,Delhi,3504.63
2021-03-12,Tomato,Delhi,3247.26
2021-03-13,Tomato,Delhi,3597.26
2021-03-14,Tomato,Delhi,3294.75
2021-03-15,Tomato,Delhi,3338.56
2021-03-16,Tomato,Delhi,3140.52
2021-03-17,Tomato,Delhi,3219.09
2021-03-18,Tomato,Delhi,3152.6
2021-03-19,Tomato,Delhi,3204.4
2021-03-20,Tomato,Delhi,3250.81
2021-03-21,Tomato,Delhi,3100.51
2021-03-22,Tomato,Delhi,3085.7
2021-03-23,Tomato,Delhi,2996.71
2021-03-24,Tomato,Delhi,3031.85
2021-03-25,Tomato,Delhi,2878.89
2021-03-26,Tomato,Delhi,2944.24
2021-03-27,Tomato,Delhi,2917.73
2021-03-28,Tomato,Delhi,3019.38
2021-03-29,Tomato,Delhi,2932.6
2021-03-30,Tomato,Delhi,2897.07
2021-03-31,Tomato,Delhi,2929.37
2021-04-01,Tomato,Delhi,3023.5
2021-04-02,Tomato,Delhi,2924.84
2021-04-03,Tomato,Delhi,2791.81
2021-04-04,Tomato,Delhi,3023.6
2021-04-05,Tomato,Delhi,2891.92
2021-04-06,Tomato,Delhi,2872.42
2021-04-07,Tomato,Delhi,3031.23
2021-04-08,Tomato,Delhi,3019.43
2021-04-09,Tomato,Delhi,2967.76
2021-04-10,Tomato,Delhi,2868.44
2021-04-11,Tomato,Delhi,3068.86
2021-04-12,Tomato,Delhi,2998.32
2021-04-13,Tomato,Delhi,2951.51
2021-04-14,Tomato,Delhi,2938.27
2021-04-15,Tomato,Delhi,2982.03
2021-04-16,Tomato,Delhi,3072.93
2021-04-17,Tomato,Delhi,2982.89
2021-04-18,Tomato,Delhi,3075.01
2021-04-19,Tomato,Delhi,2898.57
2021-04-20,Tomato,Delhi,2957.89
2021-04-21,Tomato,Delhi,2967.92
2021-04-22,Tomato,Delhi,2942.26
2021-04-23,Tomato,Delhi,2972.61
2021-04-24,Tomato,Delhi,2997.56
2021-04-25,Tomato,Delhi,2837.76
2021-04-26,Tomato,Delhi,2910.07
2021-04-27,Tomato,Delhi,2890.51
2021-04-28,Tomato,Delhi,2982.92
2021-04-29,Tomato,Delhi,2834.13
2021-04-30,Tomato,Delhi,3032.22
2021-05-01,Tomato,Delhi,2896.49
2021-05-02,Tomato,Delhi,2933.03
2021-05-03,Tomato,Delhi,2986.74
2021-05-04,Tomato,Delhi,2996.02
2021-05-05,Tomato,Delhi,3119.87
2021-05-06,Tomato,Delhi,3010.84
2021-05-07,Tomato,Delhi,3042.51
2021-05-08,Tomato,Delhi,3016.12
2021-05-09,Tomato,Delhi,2899.19
2021-05-10,Tomato,Delhi,2990.56
2021-05-11,Tomato,Delhi,2936.82
2021-05-12,Tomato,Delhi,2986.11
2021-05-13,Tomato,Delhi,2859.53
2021-05-14,Tomato,Delhi,2999.25
2021-05-15,Tomato,Delhi,3034.38
2021-05-16,Tomato,Delhi,2890.72
2021-05-17,Tomato,Delhi,2884.78
2021-05-18,Tomato,Delhi,2904.64
2021-05-19,Tomato,Delhi,2960.81
2021-05-20,Tomato,Delhi,2837.11
2021-05-21,Tomato,Delhi,2944.49
2021-05-22,Tomato,Delhi,2935.72
2021-05-23,Tomato,Delhi,3125.42
2021-05-24,Tomato,Delhi,2890.56
2021-05-25,Tomato,Delhi,2839.46
2021-05-26,Tomato,Delhi,2988.11
2021-05-27,Tomato,Delhi,2878.42
2021-05-28,Tomato,Delhi,2974.39
2021-05-29,Tomato,Delhi,2881.78
2021-05-30,Tomato,Delhi,2997.67
2021-05-31,Tomato,Delhi,2911.86
2021-06-01,Tomato,Delhi,2912.27
2021-06-02,Tomato,Delhi,2921.68
2021-06-03,Tomato,Delhi,2951.04
2021-06-04,Tomato,Delhi,3002.85
2021-06-05,Tomato,Delhi,2876.66
2021-06-06,Tomato,Delhi,3033.94
2021-06-07,Tomato,Delhi,2893.56
2021-06-08,Tomato,Delhi,2922.3
2021-06-09,Tomato,Delhi,2844.21
2021-06-10,Tomato,Delhi,2970.62
2021-06-11,Tomato,Delhi,3200.79
2021-06-12,Tomato,Delhi,3012.94
2021-06-13,Tomato,Delhi,3033.92
2021-06-14,Tomato,Delhi,2947.03
2021-06-15,Tomato,Delhi,2899.72
2021-06-16,Tomato,Delhi,2901.44
2021-06-17,Tomato,Delhi,3045.9
2021-06-18,Tomato,Delhi,2902.58
2021-06-19,Tomato,Delhi,2940.32
2021-06-20,Tomato,Delhi,3047.23
2021-06-21,Tomato,Delhi,3021.66
2021-06-22,Tomato,Delhi,2869.52
2021-06-23,Tomato,Delhi,3009.89
2021-06-24,Tomato,Delhi,3021.22
2021-06-25,Tomato,Delhi,2952.62
2021-06-26,Tomato,Delhi,3027.3
2021-06-27,Tomato,Delhi,2856.0
2021-06-28,Tomato,Delhi,2847.74
2021-06-29,Tomato,Delhi,3008.56
2021-06-30,Tomato,Delhi,3014.64
