date,commodity,market,price
2020-12-16,Wheat,Delhi,2569.12
2020-12-17,Wheat,Delhi,2551.36
2020-12-18,Wheat,Delhi,2560.28
2020-12-19,Wheat,Delhi,2535.86
2020-12-20,Wheat,Delhi,2537.34
2020-12-21,Wheat,Delhi,2695.28
2020-12-22,Wheat,Delhi,2551.79
2020-12-23,Wheat,Delhi,2517.59
2020-12-24,Wheat,Delhi,2549.77
2020-12-25,Wheat,Delhi,2572.78
2020-12-26,Wheat,Delhi,2515.32
2020-12-27,Wheat,Delhi,2455.97
2020-12-28,Wheat,Delhi,2570.89
2020-12-29,Wheat,Delhi,2603.85
2020-12-30,Wheat,Delhi,2524.53
2020-12-31,Wheat,Delhi,2631.22
2021-01-01,Wheat,Delhi,2529.54
2021-01-02,Wheat,Delhi,2552.84
2021-01-03,Wheat,Delhi,2631.72
2021-01-04,Wheat,Delhi,3355.71
2021-01-05,Wheat,Delhi,3421.52
2021-01-06,Wheat,Delhi,3286.26
2021-01-07,Wheat,Delhi,3137.57
2021-01-08,Wheat,Delhi,3169.25
2021-01-09,Wheat,Delhi,3141.6
2021-01-10,Wheat,Delhi,3106.57
2021-01-11,Wheat,Delhi,2707.74
2021-01-12,Wheat,Delhi,2654.46
2021-01-13,Wheat,Delhi,2620.67
2021-01-14,Wheat,Delhi,2591.86
2021-01-15,Wheat,Delhi,2601.78
2021-01-16,Wheat,Delhi,2591.46
2021-01-17,Wheat,Delhi,2728.03
2021-01-18,Wheat,Delhi,2543.42
2021-01-19,Wheat,Delhi,2556.54
2021-01-20,Wheat,Delhi,2701.87
2021-01-21,Wheat,Delhi,2728.65
2021-01-22,Wheat,Delhi,2730.84
2021-01-23,Wheat,Delhi,2574.46
2021-01-24,Wheat,Delhi,2645.67
2021-01-25,Wheat,Delhi,2629.25
2021-01-26,Wheat,Delhi,2644.43
2021-01-27,Wheat,Delhi,2590.97
2021-01-28,Wheat,Delhi,2623.2
2021-01-29,Wheat,Delhi,2626.38
2021-01-30,Wheat,Delhi,2677.48
2021-01-31,Wheat,Delhi,2581.18
2021-02-01,Wheat,Delhi,2774.93
2021-02-02,Wheat,Delhi,2742.83
2021-02-03,Wheat,Delhi,2580.36
2021-02-04,Wheat,Delhi,2660.36
2021-02-05,Wheat,Delhi,2667.44
2021-02-06,Wheat,Delhi,2652.9
2021-02-07,Wheat,Delhi,2672.64
2021-02-08,Wheat,Delhi,2716.75
2021-02-09,Wheat,Delhi,2699.39
2021-02-10,Wheat,Delhi,2800.18
2021-02-11,Wheat,Delhi,2606.29
2021-02-12,Wheat,Delhi,2716.92
2021-02-13,Wheat,Delhi,2693.52
2021-02-14,Wheat,Delhi,2624.26
